status;replacement_uniqueName;replacement_sourceID;tag;uniqueName;sourceID
R;;;;eksport_sideelementer;2503
R;;;;eksport_sideelementer_toppmeny;2506
R;;;;eksport_sideelementer_bunnstripen;2510
R;;;;eksport_sideelementer_venstremeny;2507
R;;;;eksport_xml;2856
R;;;;eksport_xml_sesam;5981
R;;;;xml-til-skattelisteapp;7571
R;;;;eksport_finn;3271
R;;;;eksport_meny;4976
R;;;;eksport_siste;5335
R;;;;eksport_six;5395
R;;;;eksport_six_rente;5396
R;;;;eksport_nlb;5435
R;;;;eksport_get;5795
R;;;;eksport_online;2120
R;;;;eksport_feed;9072
R;;;;eksport_meny_forbruker;6449
R;;;;sitesearch_aftenposten;6110
R;;;;sitesearch_aftenposten_go_back;6731
R;;;;sitesearch_aftenposten_special;6730
R;;;;sitesearch_aftenposten_english;6732
R;;;;sitesearch_aftenposten_op_mo;6911
R;;;;gomobile;7810
R;;;;news_feeds_inx;8552
R;;;;fastdeparture;8712
R;;;;fastdeparturetraveldest;8792
R;;;;fastdeparturetravelthemes;8793
D;;;;sommer;3432
R;;;;nyhetsbrevet;2179
R;;;;generelt;2180
R;;;;txt;2182
R;;;;html;2181
R;;;;rubrikk_kunngjoringer;9233
R;;;;rubrikk_kunngjoringer_kunnann;9235
R;;;;rubrikk_kunngjoringer_resultat;9234
B;;;;rubrikk_bil;9313
R;rubrikk_bil;9313;;rubrikk_bil_bilann;9314
B;;;;rubrikk_bil_biltester;9315
B;;;;rubrikk_bil_bildata;9333
S;rubrikk_bil;9313;;rubrikk_bil_resultat;9317
S;rubrikk_bil;9313;;rubrikk_bil_merke;9316
R;;;;digital;8973
R;;;;digital_lesebrett;8974
R;;;;digital_lesebrett_brukerportal;8975
